,Unnamed: 0,domain,url,seed_type,link_type,title
9013,9013,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/review/stab-napr-rider/,product,other,Стабилизаторы напряжения райдер - Магазин электрооборудования Проф-Электрик
9014,9014,ab-collection.ru,http://ab-collection.ru/%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B8/4533-%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-%D0%BC-5062-%D0%BA%D1%80%D1%83%D0%B6%D0%BA%D0%B8.html,product,other,Футболка М-5062 кружки
9015,9015,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/review/stab-napr-odnofaznie/,product,other,Однофазные стабилизаторы напряжения - Магазин электрооборудования Проф-Электрик
9016,9016,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/review/avtoinvertory/,product,other,Автомобильные инверторы - Магазин электрооборудования Проф-Электрик
9017,9017,ab-collection.ru,http://ab-collection.ru/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8/4535-%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BC-508%D1%87%D0%B5%D1%80%D0%BD%D1%8B%D0%B5.html,product,other,Брюки М-508черные
9018,9018,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/review/akkumulatori/,product,other,Аккумуляторы - Магазин электрооборудования Проф-Электрик
9019,9019,ab-collection.ru,http://ab-collection.ru/%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B8/4536-%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-%D0%BC-5061-%D1%87%D0%B5%D1%80%D0%BD%D0%B0%D1%8F.html,product,other,Футболка М-5061 черная
9020,9020,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/review/garanty-and-service/,product,other,Гарантия и сервис - Магазин электрооборудования Проф-Электрик
9021,9021,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/cart/,product,other,Корзина - Магазин электрооборудования Проф-Электрик
9022,9022,ab-collection.ru,http://ab-collection.ru/%D1%82%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B8/4537-%D1%82%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0-%D0%BC-404-%D1%81%D0%B5%D1%80%D1%8B%D0%B9-%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%BA.html,product,other,Толстовка М-404 Серый цветок
9023,9023,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/order/email/,product,other,Оформление заказа по Email - Магазин электрооборудования Проф-Электрик
9024,9024,ab-collection.ru,http://ab-collection.ru/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8/4538-%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-%D0%BC-492-%D0%B1%D0%B5%D0%BB%D1%8B%D0%B5.html,product,other,Брюки М-492 белые
9025,9025,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/review/,product,other,Обзоры - Магазин электрооборудования Проф-Электрик
9026,9026,ab-collection.ru,http://ab-collection.ru/%D1%82%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B8/4539-%D1%82%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B0-%D0%BC-507-%D1%81%D0%B5%D1%80%D1%8B%D0%B9-%D1%86%D0%B2%D0%B5%D1%82%D0%BE%D0%BA.html,product,other,Толстовка М-507 Серый цветок
9027,9027,ab-collection.ru,http://ab-collection.ru/content/7-optovikam,product,other,Оптовикам
9028,9028,ab-collection.ru,http://ab-collection.ru/%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B8/4534-%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-%D0%BC-506-%D0%BC%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%B0.html,product,other,"Футболка М-506 ""Монстера"""
9029,9029,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/page/how-to-buy/,product,other,Как купить - Магазин электрооборудования Проф-Электрик
9030,9030,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/category/730006/korobki-raspayachnye/,product,payment,Коробки распаячные - Магазин электрооборудования Проф-Электрик
9031,9031,ab-collection.ru,http://ab-collection.ru/39-%D1%88%D0%B0%D0%BF%D0%BA%D0%B8-%D0%B2%D0%B0%D1%80%D0%B5%D0%B6%D0%BA%D0%B8-%D1%81%D1%83%D0%BC%D0%BA%D0%B8,product,other,"Шапки, варежки, сумки"
9032,9032,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/category/730006/kontakty-na-din-reyku/,product,contact,Контакты на DIN-рейку - Магазин электрооборудования Проф-Электрик
9033,9033,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/page/contacts/,product,contact,Контакты - Магазин электрооборудования Проф-Электрик
9034,9034,ab-collection.ru,http://ab-collection.ru/40-%D1%82%D1%83%D0%BD%D0%B8%D0%BA%D0%B8-%D1%80%D1%83%D0%B1%D0%B0%D1%88%D0%BA%D0%B8-%D0%B2%D0%BE%D0%B4%D0%BE%D0%BB%D0%B0%D0%B7%D0%BA%D0%B8--%D0%B1%D0%BB%D1%83%D0%B7%D0%BA%D0%B8,product,other,"Туники, рубашки, водолазки , блузки"
9035,9035,ab-collection.ru,http://ab-collection.ru/58-%D0%B0%D0%BA%D1%81%D0%B5%D1%81%D1%81%D1%83%D0%B0%D1%80%D1%8B,product,other,Аксессуары
9036,9036,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/category/730006/kontakty-dopolnitelnye-k-knopkam-i-pereklyuchatelyam/,product,contact,Контакты дополнительные к кнопкам и переключателям - Магазин электрооборудования Проф-Электрик
9037,9037,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/malavtilin-krem/,product,other,Купить кремы малавтилины Дэнас в Абакане по привлекательной цене в нашем магазине Дэнас - Медицинская техника - denasosteo.ru
9038,9038,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/cabinet/,product,other,Кабинет - Магазин электрооборудования Проф-Электрик
9039,9039,ab-collection.ru,http://ab-collection.ru/37-%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B8,product,other,Футболки
9040,9040,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/elektrody-merkuriy/,product,other,Выносные электроды Меркурий купить в Абакане - Медицинская техника - denasosteo.ru
9041,9041,ab-collection.ru,http://ab-collection.ru/41-%D1%82%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B2%D0%BA%D0%B8,product,other,Толстовки
9042,9042,ab-collection.ru,http://ab-collection.ru/new-products,product,other,Новые товары
9043,9043,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/page/delivery/,product,delivery,Оплата и доставка - Магазин электрооборудования Проф-Электрик
9044,9044,ab-collection.ru,http://ab-collection.ru/42-%D1%8E%D0%B1%D0%BA%D0%B8,product,other,Юбки
9045,9045,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/elektrody-scenar/,product,other,Купить Электроды для аппаратов Скэнар в Абакане - Медицинская техника - denasosteo.ru
9046,9046,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/apparaty-skenar/,product,other,Аппараты Скэнар купить в Абакане от производителя - Медицинская техника - denasosteo.ru
9047,9047,ab-collection.ru,http://ab-collection.ru/prices-drop,product,other,Снижение цен
9048,9048,ab-collection.ru,http://ab-collection.ru/38-%D0%B1%D1%80%D1%8E%D0%BA%D0%B8,product,other,Брюки
9049,9049,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/lechebnye-odeyala-olm/,product,other,Купить Одеяло ОЛМ Дэнас в Абакане по привлекательной цене в нашем магазине Дэнас - Медицинская техника - denasosteo.ru
9050,9050,ab-collection.ru,http://ab-collection.ru/56-%D0%BF%D0%BB%D0%B0%D1%82%D1%8C%D1%8F,product,other,Платья
9051,9051,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/apparaty-denas/,product,other,Купить аппараты Дэнас и НейроДэнс в Абакане для здоровья - Медицинская техника - denasosteo.ru
9052,9052,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/denas-osteo-pro-pribor/,product,other,Дэнас Остео про прибор - Медицинская техника - denasosteo.ru
9053,9053,abakan.prof-elecktric.ru,http://abakan.prof-elecktric.ru/category/730006/kontaktory/,product,contact,Контакторы - Магазин электрооборудования Проф-Электрик
9054,9054,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/noski-skenar/,product,other,носки Скэнар - Медицинская техника - denasosteo.ru
9055,9055,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/pribor-diadens-kardio/,product,other,прибор ДиаДэнс Кардио - Медицинская техника - denasosteo.ru
9056,9056,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/denas-neyrodens/,product,other,Дэнас НейроДэнс - Медицинская техника - denasosteo.ru
9057,9057,ab-collection.ru,http://ab-collection.ru/35-%D0%BF%D0%B0%D0%BB%D1%8C%D1%82%D0%BE,product,other,Пальто
9058,9058,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/neyrodens-applikatory/,product,other,НейроДэнс аппликаторы - Медицинская техника - denasosteo.ru
9059,9059,ab-collection.ru,http://ab-collection.ru/2-%D0%BA%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3,product,other,КАТАЛОГ
9060,9060,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/auzt-delta-kombi/,product,other,аузт Дельта комби - Медицинская техника - denasosteo.ru
9061,9061,ab-collection.ru,http://ab-collection.ru/34-%D0%BA%D1%83%D1%80%D1%82%D0%BA%D0%B8,product,other,Куртки
9062,9062,ab-collection.ru,http://ab-collection.ru/cart?action=show,product,other,Корзина
9063,9063,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/odeyalo-lechebnoe-mnogosloynoe/,product,other,одеяло лечебное многослойное - Медицинская техника - denasosteo.ru
9064,9064,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/apparaty-merkuriy/,product,other,Аппараты Меркурий купить в Абакане - Медицинская техника - denasosteo.ru
9065,9065,ab-collection.ru,http://ab-collection.ru/login?create_account=1,product,other,Вход
9066,9066,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/zhilet-olm/,product,other,жилет олм - Медицинская техника - denasosteo.ru
9067,9067,ab-collection.ru,http://ab-collection.ru/content/4-about-us,product,about,О компании
9068,9068,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/malavtilin-maz/,product,other,Малавтилин мазь - Медицинская техника - denasosteo.ru
9069,9069,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/perchatki-skenar/,product,other,перчатки Скэнар - Медицинская техника - denasosteo.ru
9070,9070,ab-collection.ru,http://ab-collection.ru/content/1-delivery,product,delivery,Оплата и доставка
9071,9071,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/elektrody-stl-dlya-fizioterapii/,product,other,электроды стл для физиотерапии - Медицинская техника - denasosteo.ru
9072,9072,ab-collection.ru,http://ab-collection.ru/36-%D0%B6%D0%B8%D0%BB%D0%B5%D1%82%D1%8B,product,other,Жилеты
9073,9073,abakan.denasosteo.ru,http://abakan.denasosteo.ru/category/520006/elektrody-denas/,product,other,Купить выносные электроды Дэнас в Абакане по привлекательной цене в нашем магазине Дэнас - Медицинская техника - denasosteo.ru
9074,9074,ab-collection.ru,http://ab-collection.ru/content/6-contacts,product,contact,Покупателям
9075,9075,abakan.denasosteo.ru,http://abakan.denasosteo.ru/review/pribor-ultrazvukovoy-delta-kombi/,product,other,прибор ультразвуковой Дэльта комби - Медицинская техника - denasosteo.ru
9076,9076,ab-collection.ru,http://ab-collection.ru/my-account,product,other,Вход
