Unnamed: 0.1,Unnamed: 0,domain,url,seed_type,link_type,title,link_type2
2867,2867,9may-priz.ru,http://9may-priz.ru/index.php,product,other,ИНФОРМАЦИОННЫЙ ПОРТАЛ О ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЕ 1941-1945 гг.,"contact, requisite, about"
2868,2868,9darts.ru,http://9darts.ru/darts-discount-sale,product,other,Категория не найдена!,product
2869,2869,9sargb.ru,http://9sargb.ru/company/nashi-pozdravleniya.php,product,other,Наши поздравления,other
2870,2870,9may-priz.ru,http://9may-priz.ru/goroda-geroi,product,other,Города герои,other
2871,2871,9sargb.ru,http://9sargb.ru/services/all/nevrologicheskoe-otdelenie-dlya-bolnykh-s-onmk/,product,other,Неврологическое отделение для больных с ОНМК,other
2873,2873,9sargb.ru,http://9sargb.ru/price/,product,other,"Цены - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",other
2874,2874,9darts.ru,http://9darts.ru/cases,product,other,Чехлы для дротиков и аксессуаров,product
2875,2875,8karat.ru,https://8karat.ru/category/upakovka,product,other,Упаковка,product
2876,2876,8karat.ru,https://8karat.ru/category/yuvelirnye-ukrasheniya,product,other,Ювелирные украшения,product
2877,2877,9darts.ru,http://9darts.ru/darts-accessories,product,other,Аксессуары,product
2878,2878,9sargb.ru,http://9sargb.ru/services/all/nevrologicheskoe-otdelenie/,product,other,Неврологическое отделение,other
2879,2879,9sargb.ru,http://9sargb.ru/company/vacancy/,product,other,"Вакансии - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",news
2880,2880,8karat.ru,https://8karat.ru/category/furnitura,product,other,Фурнитура,product
2881,2881,9sargb.ru,http://9sargb.ru/company/partners/,product,other,"Ссылки - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",other
2882,2882,9darts.ru,http://9darts.ru/darts-flights,product,other,Оперения,other
2883,2883,8karat.ru,https://8karat.ru/category/cepi,product,other,Цепи,product
2884,2884,8kolonn.ru,http://8kolonn.ru/arenda-kommercheskoj-nedvizhimosti/8-arenda-nedvizhimosti-pod-magazin.html,product,other,Аренда недвижимости под магазин | Аренда залов - 8 колонн,other
2885,2885,9sargb.ru,http://9sargb.ru/company/sko/,product,other,"Контролирующие организации - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",other
2886,2886,9darts.ru,http://9darts.ru/electronic-darts,product,other,Электронный дартс,other
2887,2887,8kolonn.ru,http://8kolonn.ru/arenda-kommercheskoj-nedvizhimosti/9-kak-pravilno-snyat-ofis.html,product,other,Как правильно снять офис | Аренда залов - 8 колонн,other
2888,2888,8kolonn.ru,http://8kolonn.ru/kuplya-prodazha-zhilya/10-ne-zavyshajte-tsenu-kak-prodat-kvartiru-pravilno.html,product,other,Не завышайте цену. Как продать квартиру правильно | Аренда залов - 8 колонн,other
2889,2889,9darts.ru,http://9darts.ru/drotiki-steeltip,product,other,Дротики Steeltip,other
2891,2891,9darts.ru,http://9darts.ru/darts-nabory,product,other,Наборы для дартс,other
2894,2894,9sargb.ru,http://9sargb.ru/company/normativnye-dokumenty.php,product,other,"Нормативные документы - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",other
2895,2895,8kolonn.ru,http://8kolonn.ru/prodazha-kommercheskoj-nedvizhimosti/12-chto-popadaet-v-kategoriyu-kommercheskaya-nedvizhimost.html,product,other,Что попадает в категорию коммерческая недвижимость | Аренда залов - 8 колонн,product
2897,2897,9darts.ru,http://9darts.ru/darts-misheni-kabinety,product,other,Мишени и кабинеты для дартс,other
2898,2898,9sargb.ru,http://9sargb.ru/company/personal/,product,other,"Персонал - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",other
2899,2899,9sargb.ru,http://9sargb.ru/staff/administratsiya/,product,other,Администрация,other
2900,2900,9sargb.ru,http://9sargb.ru/company/index.php,product,other,"О клинике - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",other
2901,2901,9darts.ru,http://9darts.ru/darts-shafts,product,other,Хвостовики,other
2902,2902,8kolonn.ru,http://8kolonn.ru/katalog/sistemy-kontrolya-dostupa.html,product,other,Системы контроля доступа | Аренда залов - 8 колонн,product
2904,2904,9sargb.ru,http://9sargb.ru/company/,product,other,"О клинике - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",other
2905,2905,8kolonn.ru,http://8kolonn.ru/katalog/prodazha-nedvizhimosti.html,product,other,Продажа недвижимости | Аренда залов - 8 колонн,product
2906,2906,8kolonn.ru,http://8kolonn.ru/katalog/seyfy-yacheyki.html,product,other,"Сейфы, ячейки | Аренда залов - 8 колонн",product
2907,2907,8kolonn.ru,http://8kolonn.ru/kuplya-prodazha-zhilya/11-kak-sdelat-prodavaemuyu-kvartiru-privlekatelnoj.html,product,other,Как сделать продаваемую квартиру привлекательной | Аренда залов - 8 колонн,other
2909,2909,8kolonn.ru,http://8kolonn.ru/katalog/pozharnaya-signalizatsiya.html,product,other,Пожарная сигнализация | Аренда залов - 8 колонн,product
2910,2910,9sargb.ru,http://9sargb.ru/company/licenses/,product,other,"Лицензии и сертификаты - Государственное учреждение здравоохранения  ""Саратовская городская клиническая больница №9""",news
2912,2912,6ablon.ru,http://6ablon.ru/shop/interer/mebel/cabinets/,product,other,Шаблон интернет магазина мебели готовый купить | Веб студия Яворского,product
2913,2913,8kolonn.ru,http://8kolonn.ru/katalog/okhrannye-datchiki.html,product,other,Охранные датчики | Аренда залов - 8 колонн,product
